Gene	Expr0
Slc9a3r2	7.33874
Slc9a1	7.38781
Slc7a6os	6.87933
Slc7a6	7.61778
Slc7a4	7.07422
Slc6a9	6.83803
Slc6a7	6.17031
Slc6a17	6.16502
Slc6a15	6.84031
Slc5a2	6.48241
Slc5a11	6.48781
Slc4a7	8.20181
Slc4a2	6.63294
Slc4a1ap	8.15455
Slc4a11	7.0182
Slc47a1	7.33176
Slc46a1	7.18966
Slc45a4	7.69007
Slc45a2	5.84013
Slc45a1	6.46466
Slc44a4	6.39711
Slc44a2	7.26273
Slc44a1	8.03889
Slc43a3	6.26661
Slc43a1	7.39493
Slc41a3	6.93104
Slc41a1	7.34863
Slc39a6	8.26721
Slc39a4	7.92241
Slc39a3	6.47485
Slc39a14	6.89863
Slc39a13	6.63227
Slc39a11	7.50978
Slc39a1	8.3771
Slc38a3	5.74469
Slc38a1	8.24375
Slc37a4	6.69463
Slc37a3	7.94455
Slc37a1	7.07935
Slc36a3	5.7103
Slc36a1	6.44897
Slc35f5	7.46867
Slc35e4	5.72802
Slc35e3	8.04287
Slc35e1	8.3461
Slc35c2	6.62141
Slc35c1	6.00022
Slc35b4	6.78815
Slc35b3	6.97444
Slc35b2	7.68152
Slc35a4$LOC545750	7.35572
Slc35a3	7.49653
Slc35a2	6.94612
Slc33a1	7.34108
Slc31a2	7.18561
Slc31a1	7.56058
Slc30a7	7.04935
Slc30a6	8.21125
Slc30a4	7.58114
Slc30a3	7.27071
Slc30a1	8.02691
Slc2a8	8.30532
Slc2a4	5.72076
Slc29a3	7.03254
Slc29a2	6.31674
Slc27a4	7.53038
Slc27a3	6.31024
Slc27a1	6.29186
Slc26a6	6.34869
Slc26a11	6.21599
Slc25a45	5.69907
Slc25a44	6.11591
Slc25a42	6.07718
Slc25a38	7.77579
Slc25a37	6.32678
Slc25a35	5.8303
Slc25a32	6.71059
Slc25a31	8.00339
Slc25a30	6.75874
Slc25a28	8.30405
Slc25a26	5.8901
Slc25a25	6.9199
Slc25a24	6.86749
Slc25a22	7.91456
Slc25a19	6.63183
Slc25a17	7.96202
Slc25a16	8.09786
Slc25a14	7.57614
Slc25a12	7.88427
Slc25a10	7.34973
Slc24a6	7.13265
Slc23a2	7.38319
Slc22a7	5.76814
Slc22a5	6.65042
Slc22a18	6.39324
Slc22a17	7.29354
Slc22a12	6.68612
Slc1a7	5.84139
Slc1a5	7.73335
Slc1a4	7.18811
Slc19a1	7.4253
Slc17a5	7.38126
Slc16a8	5.86849
Slc16a6	7.92465
Slc16a13	5.73125
